Monday	Tiuesday	Wednesday	Thursday	Friday	Saturday
Shoulder press @35	Hip thrust @142 1234-8	Rear delt @90 1234-10	Bench @45 1234-10	Dip M @150 1234-12	
Superset	Ind leg curl @10 1234-8	Straight bar pulldown @140 12-10 34-8		Straight bar ext @90 12-12 34-10	
Shrug @45 1234-15				Straight bar curl 1@50-15 234@60-12	
				Ab twist @140 1234-12	
					
Week 12					
					
Shoulder press @35 1234-8	Leg press @180 1234-8	Plate Lat pulldown @70 1234-10	Butterfly @130 1234-8	Curl M @50kg 12345-10	
Superset	Hip thrust @157 1234-8	Rear delt @100 1234-8	High cable fly @60 1234-40	Dip M @150 1-12	
Shrug @45 1234-15		V bar row @150 1234-8	Low cable fly @45 1234-10		
Lateral raise M @80 1-12			Bench @45 12-12 34-10		
					
Week 13					
					
Shoulder press @35 12-8 34-6	Leg ext @180 1234-8	Plate Lat pulldown @70 1234-8	Butterfly @130 1234-8		
Superset 	Leg curl @70 1234-8	Rear delt @100 1234-8	Bench @45 12345-10		
Shrug @45 1234-15	Leg press @180 1234-8	V bar row @150 1234-8	Incline bench @45		
Front Db Raise @20 1234-10	Hip thrust @157 1234-8	Plate low row @70 1234-8			
Superset					
Db press @25 123-12 4-10					
Lat Raise M @60 1234-12					
					
Week 14					
					
Shoulder press @35 1234-8	Leg ext @180 1234-10	Plate Lat pulldown @70 1234-10	Bench @45 12-12 34-10		
Superset	Leg curl @70 1234-8	Rear delt @100 1234-10	Incline bench @45 1234-10		
Shrug @45 1234-15	Leg Press @180 123456-8	V bar row @150 1234-10	Butterfly @130 1234-10		
Lat Raise M @70 1234-15		Low row @70 1234-10	High cable fly @60 1-12 234-10		
Front Db Raise @20 1234-12			Low cable fly @45 1-10 234-8		
Superset					
DB Press @25 1234-10					
					
Week 15					
					
Lat Raise M @70 1234-15	Leg ext @190 1234-10	Plate Lat pulldown @70 12345-8	Butterfly @140 1234-10	Curl M @70kg 12345-15	
Shoulder Press @35 1234-8	Leg curl @70 1234-10	Rear delt @100 1234-10	Bench @45 123-12 4-10	Dip M @150 12345-15	
Superset	Angled leg press @135 1234-10	V bar row @150 1234-10	Incline bench @45 1234-10	Hammer curl @30	
Shrug @45 1234-17			High cable fly @60 	Superset	
				Db ext @60 1-10	
Week 16					
					
Shoulder press @35 1234-8	Leg ext @190 1234-10	Rear delt @100 1234-10	High cable fly @60 1234-12		
Shrug @45 1234-15		Plate Lat pulldown @55 1234-10	Low cable fly @45 1234-10		
Lat Raise M @75 1-15 234-12					
					
Week 17					
					
Shoulder press @35 1234-8	Leg press @135 1234-8	Plate Lat pulldown @70 1234-8	Butterfly @145 1234-10		
Shrug @45 1234-17	Leg curl @70 1234-10	Rear delt @100 1-10			
Front Db Raise @20 1234-10	Leg ext @190	V bar row @150 1234-8			
Superset		Straight bar pulldown @140 1234-10			
Db press @25 1234-12					
					
Week 18					
					
Lat Raise M @75 12-15 34-12	Leg press @180 12345-6	Plate Lat pulldown @45 1234-15	Butterfly @90 12-15 34-10		
Front Db Raise @20 1234-12	Leg ext @190 12345-8	Low row @45 1234-15			
Superset		Straight bar pulldown @90  12-15 34-12			
Db press @25 1234-12		Rear delt @60 1-12			
					
Week 19					
					
Shoulder press @20 1234-12	Leg press @135 12345-10	Plate Lat pulldown @45 12345-15	Butterfly @90 1234-12		
Shrug @45 12-20 34-15	Leg ext @120 1-	Low row @45 12345-15	Bench @45 1234-10		
		Straight bar pulldown @80 1234-15 5-10			
		V bar row @100 12345-12			
		Rear delt @60 12345-12			
Week 20					
					
Shoulder press @20 123-15 4-12	Leg ext @120 123456-12	Rear delt @60 12345-15			
Shrug @45 123-20 4-15	Leg curl @60 123456-12	Plate Lat pulldown @45 12345-15	Bench @45 12345-15		
Lat Raise @75 1234-12	Ab twist @90 1234-12	Low row @45 12345-15	Butterfly @90 12345-15		
	Leg press @135	Straight bar pulldown @80 1-15 2345-12	Incline bench @45 12345-8		
					
Week 21					
					
Shoulder press @25 1234-10	Shoulder press @25 1234-10				
Shrug @45 1234-20	Shrug @45 12345-20				
Lat Raise @70 1234-15	Lat Raise @70 1234-12				
					
Week 22					
					
Shoulder press @25 1234-10					
Shrug @45 1234-20					
Lat Raise @70 1-15					
					
Week 23					
					
Shoulder press @20 1234-10	Leg press @135 1234-6	Pulldown M @100 1234-10	Butterfly @90 1234-15		
Shrug @45 1234-20	Hip thrust @112 1234-10	Low row @45 1234-15	Bench @45 1234-10		
Lat Raise @70 1234-15	Leg ext @150 12345-8	V bar row @150 1234-8			
Db press @25 1234-40	Leg curl @50	Straight bar pulldown @80 1234-12			
Front Db Raise @15 1234-10					
					
Week 24					
					
Shoulder press @25 123-10 4-8	Leg press @135 1234-8	Pulldown M @120 1234-10	Butterfly @100 1234-12		
Shrug @45 123-20 4-15	Hip thrust @112 1234-10	Low row @45 1234-15	Bench @45		
Lat Raise @75 1234-12	Leg curl @50 1234-10	V bar row @150 1234-8			
Db press @25 1-12	Leg ext @150 1234-8	Straight bar pulldown @100 1234-12			
Front Db Raise @15 1-15					
					
Week 25					
					
Ab twist @120 123-12	Leg curl @50 1234-12	Butterfly @100 12-15 34-12			
Shoulder press @25 1234-10	Leg press @135 1234-8	Bench @45 1234-10			
Shrug @45 123-20 4-15	Hip thrust @112 1234-12	Incline bench @45 1234-8			
Db press @25 1-12 2-10 34-8		Decline bench @45 1-			
Front Db Raise @20 1234-10					
					
Week 26					
					
Shoulder press @25 1234-10	Leg ext @150 12345-10	Butterfly @110 12345-10	Pulldown Plate @70 1234-8	Curl M @36kg 12345-10	
Shrug @45 1234-20	Leg press @135 12345-8	Bench @12345-10	Low row @70 1234-8	Tricep M @140 12345-10	
Lat Raise M @70 1234-12	Hip thrust @112 12345-10	Incline @45 12345-10	V bar @150 1234-8	Lat Raise M @70 12345-12	
Front Db Raise @22.5 1-10		Decline @45 1-	Rear delt @70 1234-8	Hammer curl @25 12345-12	
Db press @25 1-12				Superset	
				Db ext @55 12345-12	
				Db wide curl @25 12345-8	
				Superset	
				Ind Db ext @25 12345-8	
Week. 27					
					
Shoulder press @25 1234-12	Leg curl @50 1234-12	Pulldown Plate @70 1234-10	Butterfly @110 1234-12	Tricep M @140 1234-12	
Shrug @45 1234-20	Leg press @135 1234-10	Low row @70 1234-10	Incline bench @45 1234-8	Curl M @36kg 1234-12	
Front Db Raise @25 1234-12	Hip thrust @127 1-10	V bar row @150 1234-10	Decline bench @45 1234-10	Plate curl @50 1234-12	
Db press @15 1234-15		Rear delt @70 1234-15	Bench @45 1234-10	Db hammer @25 1234-12	
				Db ext @25 1234-12	
					
Week. 28					
					
Shoulder press @25 1234-12	Leg press @135 1234-12	Rear delt @75 1234-15	Butterfly @110 1234-12	Curl M @36kg 1234-12	
Shrug @45 1234-20	Hip thrust @127 1234-10	Pulldown Plate @70 1234-10	Bench @45 1234-10	Tricep M @140 1234-12	
Lat Raise @70 1234-12	Leg curl @60 1234-10	Low row @70 1234-12	Incline bench @45 1234-8	Db hammer @25 1234-12	
Front Db Raise @15 1234-15		V bar row @170 1234-6	Decline bench @45 1234-10	Db ext @25 1234-12	
Db press @30 1234-12				Wide curl @20 1234-10	
				Db ext @60 1234-8	
Week 29					
					
Shoulder press @25 1234-12	Leg press 12@135-12 34@180-8	Pulldown Plate @70 1234-10	Bench @55 1234-8	Curl M @41kg 12345-12	
Shrug @45 1234-20	Hip thrust @142 1234-8	Low row @80 1234-10	Butterfly @120 1234-12	Tricep M @140 12345-12	
